index,Unnamed: 0,age,num_children,gender,reported_height,reported_weight,reported_pants_size_waist,reported_pants_size_inseam,bra_size_chest,bra_size_cup,age_range,shoe_size_us,ankle_circum,spine_to_scye_len,spine_to_elbow_len,arm_len_spine_wrist,arm_len_shoulder_wrist,arm_len_shoulder_elbow,scye_circum,chest_circum,chest_circum_below_bust,chest_circum_scye,jean_inseam,hand_len,hip_circum,hip_height,neck_circum_base,bideltoid_breadth,height,thigh_circum_proximal,u_crotch,waist_circum_preferred,waist_height_preferred,weight,biacromial_breadth,bicristal_breadth,bust_to_bust,cervical_height,chest_height,interscye_dist,acromion_height,acromion_radial_len,ankle_height_inside,ankle_height_outside,axilla_height,elbow_height,knee_height,radial_stylion_len,sleeve_inseam,sleeve_outseam,acromion_radial_stylion_len,shoulder_len,dataset
17,1046.0,29.0,1.0,male,71.0,170.0,33.0,36.0,,,26-35,9.5,10.04,7.99,22.13,34.49,26.5,14.13,16.22,36.5,,38.19,33.46,8.39,40.24,35.75,18.11,18.43,72.83,22.87,24.88,32.6,43.27,169.0,16.81,12.16,8.12,62.83,53.94,15.23,60.04,13.695,3.94,3.31,55.315,46.67,20.83,11.43,19.63,24.415,25.125,7.99,caesar
18,1047.0,48.0,2.0,female,55.0,140.0,,,36.0,3.0,46-55,8.0,9.37,7.68,21.14,31.61,23.94,13.46,15.98,38.23,32.76,35.83,29.84,7.6,38.35,31.1,16.89,17.36,65.0,22.32,27.17,30.63,39.96,143.5,15.1,11.87,7.95,56.14,46.3,14.13,53.82,12.685,3.46,2.795,49.175,41.455,18.19,9.395,17.635,21.79,22.08,7.67,caesar
19,1048.0,42.0,2.0,male,72.0,180.0,34.0,34.0,,,36-45,9.5,10.28,8.78,23.07,35.16,26.38,14.29,17.4,38.78,,38.46,33.39,8.15,40.75,36.42,17.44,19.72,72.24,22.48,26.97,36.3,43.66,177.0,17.53,13.04,9.22,61.65,52.28,15.45,58.7,13.87,3.66,2.755,53.74,45.08,20.39,10.625,19.035,23.805,24.495,8.78,caesar
20,1049.0,32.0,0.0,male,68.0,235.0,38.0,30.0,,,26-35,10.0,11.3,8.43,20.94,32.24,23.82,12.52,20.67,46.54,,45.67,28.66,7.83,47.13,33.15,18.9,21.42,67.68,29.17,25.04,40.43,37.09,251.5,16.58,16.45,9.99,58.9,47.87,17.43,55.985,12.255,3.31,2.795,50.63,44.21,18.15,9.64,16.005,21.69,21.895,8.42,caesar
21,105.0,28.0,0.0,male,75.0,220.0,40.0,34.0,,,26-35,12.0,10.63,9.09,23.82,36.85,27.76,14.72,19.69,45.79,,46.97,34.84,8.15,45.63,38.98,19.88,22.64,74.29,26.73,23.7,42.99,42.76,241.0,18.39,15.79,10.79,64.88,54.41,17.49,62.005,14.355,3.86,3.11,57.48,47.8,21.22,11.43,20.3,25.065,25.785,9.09,caesar
22,1050.0,51.0,2.0,female,66.0,165.0,,,40.0,2.0,46-55,8.5,9.25,7.91,19.88,29.49,21.57,11.97,16.85,40.59,33.46,37.72,29.17,7.05,41.14,32.64,17.8,17.76,65.51,23.78,28.66,36.02,39.92,166.5,15.05,13.77,8.21,55.98,46.93,14.35,52.675,11.26,3.23,2.91,48.505,41.69,17.835,9.08,16.345,19.96,20.34,7.92,caesar
23,1051.0,37.0,2.0,male,68.0,160.0,30.0,31.0,,,36-45,10.0,10.59,8.11,20.94,32.17,24.06,12.83,16.93,38.43,,39.17,29.13,7.76,37.87,30.63,16.77,17.8,66.42,22.01,23.11,30.28,37.99,158.5,15.37,12.16,8.07,57.24,47.09,15.03,53.935,12.42,3.425,2.91,49.96,42.065,18.03,9.645,17.715,21.78,22.065,8.11,caesar
24,1052.0,41.0,2.0,male,70.0,180.0,34.0,30.0,,,36-45,11.0,10.55,8.58,21.22,32.72,24.13,12.64,17.99,43.39,,44.09,29.13,8.19,41.61,31.85,18.43,20.35,67.72,24.09,25.08,36.3,38.46,192.0,16.36,13.81,10.11,58.19,49.76,16.56,56.185,12.55,3.54,2.835,51.89,43.98,18.62,10.11,17.595,22.235,22.66,8.59,caesar
25,1054.0,63.0,,male,66.0,135.0,31.0,29.0,,,56-65,8.5,10.16,7.56,19.8,31.02,23.46,12.24,14.72,34.84,,34.21,30.04,7.44,35.91,33.15,17.91,16.02,65.51,20.67,24.96,31.93,39.13,133.0,14.54,11.59,9.01,56.38,46.54,12.99,53.265,12.08,2.875,2.72,48.94,41.815,18.345,10.05,17.6,21.685,22.13,7.56,caesar
26,1055.0,19.0,0.0,male,71.0,165.0,32.0,32.0,,,17-25,11.5,10.55,8.82,22.83,34.88,26.06,14.02,17.01,36.18,,38.11,32.95,8.46,38.5,36.38,18.03,19.61,71.06,22.24,23.46,32.09,41.93,162.0,17.37,11.25,8.83,61.65,52.36,14.82,58.895,13.435,4.055,3.345,54.525,45.73,20.47,10.965,19.88,23.79,24.4,8.82,caesar
27,1056.0,33.0,0.0,female,64.0,115.0,,,32.0,2.0,26-35,6.5,8.9,7.2,19.09,29.25,22.05,11.89,18.11,32.2,29.13,31.38,29.45,7.05,35.43,30.16,14.49,14.88,63.15,19.92,22.56,27.83,38.11,108.5,13.9,11.11,6.9,54.49,46.54,12.41,52.325,11.245,3.07,2.64,48.665,41.535,17.44,9.505,17.175,20.28,20.75,7.2,caesar
28,1057.0,39.0,0.0,female,67.0,128.0,,,36.0,3.0,36-45,8.0,9.06,7.68,20.28,30.98,23.31,12.6,14.25,34.49,28.43,33.46,31.14,7.44,38.39,31.89,16.93,15.91,65.98,22.05,26.93,27.95,41.97,129.5,14.37,11.07,7.31,56.61,48.66,13.34,54.135,11.715,3.07,2.6,50.315,42.835,18.425,9.775,17.53,20.955,21.49,7.67,caesar
29,1058.0,40.0,3.0,female,64.0,130.0,,,34.0,1.0,36-45,7.5,9.02,7.17,19.37,29.88,22.72,12.2,15.16,33.86,29.53,33.46,30.67,7.68,41.57,31.14,15.67,16.34,64.13,23.43,28.15,28.62,40.55,135.0,14.34,11.83,7.15,54.96,45.83,13.6,52.52,11.495,2.95,2.68,48.705,41.26,17.68,9.77,17.055,20.575,21.265,7.16,caesar
30,1059.0,20.0,0.0,male,71.0,165.0,34.0,34.0,,,17-25,10.5,10.55,7.99,21.54,33.39,25.39,13.54,15.83,36.42,,37.24,31.02,8.07,41.93,33.27,17.01,18.39,69.25,24.49,25.91,34.45,40.94,169.5,16.4,12.39,8.54,59.76,50.08,14.11,56.655,12.84,3.39,2.87,52.48,44.075,19.53,10.455,18.68,22.8,23.295,8.0,caesar
31,106.0,33.0,0.0,male,72.0,192.0,35.0,34.0,,,26-35,10.5,10.83,8.98,22.36,35.12,26.14,13.39,17.72,41.5,,41.77,33.07,8.15,40.43,36.77,16.97,20.94,70.87,24.33,28.11,36.34,43.54,193.0,16.82,13.42,9.53,61.5,52.28,15.69,58.27,13.515,3.465,2.56,53.855,45.67,19.96,10.67,18.955,23.51,24.185,8.98,caesar
32,1060.0,38.0,1.0,female,60.75,190.0,,,38.0,5.0,36-45,7.5,9.13,7.56,19.25,29.37,21.81,11.69,17.4,43.78,33.23,39.25,26.34,7.13,46.06,28.54,15.98,18.31,60.71,28.43,29.61,33.7,37.91,183.0,14.76,12.39,8.32,51.81,41.57,14.65,49.485,10.875,2.99,2.6,46.1,39.175,16.575,9.095,15.98,19.51,19.97,7.56,caesar
33,1061.0,43.0,5.0,female,71.0,175.0,,,36.0,3.0,36-45,10.5,9.69,7.2,21.65,33.27,26.06,14.45,16.54,38.78,31.18,37.2,33.7,8.07,43.19,35.87,16.73,18.23,70.55,25.39,28.15,32.8,44.49,173.0,15.31,12.44,7.44,61.1,51.18,15.06,58.425,13.32,3.54,2.91,54.015,45.195,19.96,10.335,18.92,23.25,23.655,7.21,caesar
34,1062.0,23.0,0.0,female,54.0,120.0,,,36.0,2.0,17-25,6.0,9.37,7.95,20.24,30.51,22.56,12.28,14.37,35.71,29.33,34.41,29.02,7.01,37.13,30.83,16.38,16.57,63.58,21.77,22.68,29.06,37.48,122.5,15.04,11.3,6.95,53.62,45.2,13.9,51.34,11.765,3.23,2.48,47.795,40.175,17.285,8.775,17.23,20.405,20.54,7.95,caesar
35,1063.0,58.0,0.0,female,70.0,235.0,,,44.0,3.0,56-65,11.0,10.2,7.76,21.65,32.24,24.49,13.9,17.24,48.62,41.57,42.2,30.83,8.35,49.65,35.24,18.94,19.69,69.65,28.74,32.8,42.32,43.5,244.5,15.69,15.64,8.73,60.71,49.13,15.38,58.11,13.1,3.425,3.07,53.31,45.73,19.095,9.985,17.935,22.4,23.085,7.75,caesar
36,1064.0,47.0,2.0,male,69.0,165.0,33.0,32.0,,,46-55,9.5,10.0,8.66,21.73,33.54,24.88,13.07,17.09,38.74,,38.9,29.69,7.6,38.62,33.35,17.91,18.62,67.95,21.85,22.36,34.29,38.43,164.0,16.05,13.03,8.87,58.58,47.32,14.7,55.16,12.96,3.11,2.72,50.2,42.52,19.02,10.195,17.84,22.835,23.155,8.66,caesar
37,1065.0,22.0,0.0,male,71.0,165.0,32.0,31.0,,,17-25,9.5,10.43,8.54,20.87,32.44,23.9,12.32,16.46,36.57,,38.98,31.3,8.11,39.69,33.54,18.11,17.91,70.28,23.15,,32.09,39.84,168.0,16.2,12.08,9.41,60.63,50.39,15.32,56.97,12.085,3.66,2.99,52.875,44.82,19.88,10.09,17.45,22.0,22.175,8.54,caesar
38,1066.0,24.0,0.0,male,72.0,220.0,36.0,34.0,,,17-25,11.0,10.83,8.94,22.91,35.55,26.61,13.98,19.13,43.9,,44.72,32.56,8.19,43.86,35.24,20.16,20.75,72.2,26.26,25.47,37.36,41.89,220.5,16.94,14.14,8.91,62.36,52.91,16.62,59.41,13.665,3.62,3.23,55.39,46.475,20.24,11.28,20.36,24.605,24.945,8.94,caesar
39,1067.0,35.0,3.0,male,73.0,206.0,36.0,32.0,,,26-35,11.0,10.35,9.21,23.23,35.47,26.26,14.02,19.53,43.9,,46.02,32.68,8.19,42.13,34.88,20.55,20.98,72.83,25.31,26.81,34.49,42.28,210.5,17.36,13.76,10.08,62.83,52.6,16.72,60.2,13.66,3.74,3.07,55.63,46.87,20.275,10.735,18.905,23.925,24.395,9.21,caesar
40,1068.0,20.0,0.0,female,69.0,135.0,,,32.0,2.0,17-25,11.0,10.0,7.36,20.12,30.71,23.35,12.76,14.21,32.95,28.31,32.4,31.46,7.56,39.37,32.91,15.83,15.79,67.44,22.24,28.15,26.69,42.4,135.0,13.45,10.89,7.26,57.4,48.35,12.3,54.725,12.235,3.31,2.56,50.79,43.09,18.465,9.615,17.77,21.6,21.85,7.36,caesar
41,1069.0,26.0,0.0,male,70.0,140.0,30.0,33.0,,,26-35,10.0,10.55,7.76,20.91,32.56,24.8,13.15,15.91,37.24,,37.32,32.24,7.87,36.3,35.63,16.61,17.68,69.06,20.63,25.39,30.51,42.68,142.5,15.23,11.42,8.79,59.76,50.63,14.33,57.325,12.845,3.505,3.265,52.795,45.14,19.765,10.775,18.545,22.72,23.62,7.76,caesar
42,107.0,32.0,0.0,male,68.0,165.0,34.0,30.0,,,26-35,8.0,10.08,8.66,21.38,31.69,23.03,12.72,17.17,38.19,,38.15,29.41,7.52,42.05,32.76,16.85,19.29,68.19,23.5,25.67,37.2,39.02,170.0,17.16,13.44,9.49,58.11,48.66,15.66,55.08,12.09,3.58,2.68,50.785,43.17,18.15,9.395,16.96,20.815,21.485,8.66,caesar
43,1070.0,42.0,2.0,female,54.75,148.0,,,34.0,1.0,36-45,7.5,9.33,6.93,19.29,29.76,22.83,12.36,14.57,36.42,30.94,35.67,28.62,6.81,42.6,30.31,17.32,16.5,64.57,24.8,30.31,28.31,40.28,145.0,13.58,12.49,7.17,55.59,47.8,13.28,53.465,11.75,3.385,2.755,49.92,42.005,17.285,9.64,17.6,21.045,21.39,6.93,caesar
44,1072.0,60.0,0.0,male,73.0,262.0,44.0,32.0,,,56-65,11.0,11.18,8.11,21.61,33.9,25.79,13.5,19.06,46.61,,44.69,31.93,8.31,46.93,36.97,20.87,19.13,72.83,26.54,29.8,46.73,42.64,260.5,15.69,15.81,11.34,63.23,52.36,15.03,61.18,13.6,4.21,3.545,56.105,47.715,20.83,10.95,18.46,23.95,24.55,8.11,caesar
45,1073.0,61.0,2.0,male,68.0,150.0,32.0,30.0,,,56-65,9.0,10.55,8.86,21.65,33.27,24.41,12.8,16.38,37.52,,37.17,29.61,7.64,37.83,31.89,16.46,18.07,65.75,21.3,24.57,33.27,38.9,150.0,16.64,12.59,8.24,56.85,47.17,14.33,53.345,12.655,3.465,2.875,48.62,40.885,18.07,9.95,17.735,22.21,22.605,8.86,caesar
46,1074.0,56.0,2.0,female,64.5,130.0,,,34.0,2.0,56-65,7.5,9.17,7.52,19.88,30.0,22.48,12.36,14.49,34.57,29.17,32.44,29.72,6.81,37.6,30.43,15.39,15.55,63.86,21.73,27.32,26.34,39.61,123.0,13.78,11.04,6.85,54.65,46.61,13.69,52.835,11.865,2.87,2.6,49.055,41.91,17.52,9.13,16.895,20.32,20.995,7.52,caesar
47,1075.0,28.0,0.0,male,73.0,208.0,34.0,34.0,,,26-35,13.0,11.38,9.06,21.89,34.25,25.2,12.83,17.24,42.09,,43.98,33.31,8.35,44.02,36.02,19.21,20.2,72.8,26.22,26.46,36.3,41.1,208.0,16.83,13.82,9.65,63.15,53.07,15.29,60.2,12.73,3.54,3.07,55.865,47.76,20.67,11.12,18.62,22.91,23.85,9.05,caesar
48,1076.0,63.0,3.0,female,63.5,124.0,,,36.0,3.0,56-65,8.0,9.17,7.68,20.63,30.31,22.64,12.95,15.28,36.02,28.7,34.09,28.5,7.01,39.17,29.8,16.34,16.38,61.77,21.18,27.95,28.86,38.78,123.5,14.93,10.7,7.29,53.31,44.57,14.07,50.355,11.785,3.15,2.44,46.375,38.525,17.205,9.41,17.035,20.505,21.195,7.67,caesar
49,1077.0,33.0,2.0,female,66.0,150.0,,,36.0,3.0,26-35,9.0,9.57,7.68,20.71,30.71,23.03,13.03,16.26,37.24,31.65,35.39,29.25,7.24,40.94,30.71,15.55,18.07,65.08,23.78,28.15,31.69,39.09,154.0,14.02,12.32,7.72,55.67,46.3,15.55,53.935,11.91,3.54,2.83,49.41,42.675,17.72,9.35,16.47,20.825,21.26,7.68,caesar
50,1078.0,46.0,2.0,female,61.0,132.0,,,36.0,3.0,46-55,7.5,8.82,7.2,19.17,29.06,21.85,11.97,15.79,38.23,31.65,34.8,28.11,7.17,40.35,30.43,15.08,16.85,61.61,22.76,28.98,34.65,38.58,140.5,13.87,13.13,7.68,52.68,44.02,13.4,50.79,11.16,3.11,2.715,46.73,39.88,17.01,8.98,16.185,19.86,20.14,7.21,caesar
51,1079.0,51.0,2.0,female,67.0,175.0,,,42.0,2.0,46-55,9.0,9.92,7.2,20.16,30.31,23.11,12.95,16.85,39.45,33.86,36.97,28.86,7.28,42.83,31.18,17.13,17.99,66.77,24.45,29.21,33.98,40.04,170.5,13.49,12.77,7.36,57.48,49.06,13.64,56.495,12.33,3.11,2.755,51.65,44.765,17.48,9.555,16.425,21.285,21.885,7.2,caesar
52,108.0,39.0,0.0,male,72.0,185.0,34.0,34.0,,,36-45,12.0,10.63,8.54,21.69,34.33,25.79,13.15,16.57,39.33,,39.88,33.03,8.15,41.85,37.09,18.19,19.29,71.85,24.65,26.26,36.02,42.36,189.5,17.07,14.01,8.76,61.97,52.05,15.12,58.27,13.065,3.35,2.795,53.98,45.83,20.195,11.05,19.47,23.635,24.115,8.54,caesar
53,1080.0,53.0,1.0,male,75.0,205.0,36.0,34.0,,,46-55,10.5,11.06,9.29,23.03,35.55,26.26,13.74,18.03,42.72,,41.38,34.53,8.19,42.05,37.64,18.9,19.49,73.98,24.76,24.25,38.11,43.07,203.5,17.18,14.66,10.74,64.09,52.44,15.52,60.475,13.765,3.58,3.15,55.51,47.24,21.34,10.885,19.72,24.255,24.65,9.29,caesar
54,1081.0,28.0,1.0,female,62.0,140.0,,,36.0,3.0,26-35,7.0,8.46,7.2,19.37,29.13,21.93,12.17,15.79,37.8,31.42,35.2,28.98,7.36,40.39,34.02,16.34,17.24,62.4,23.43,26.85,31.46,39.17,138.0,14.15,12.2,8.66,53.7,44.41,13.79,51.73,11.35,3.19,2.4,48.03,40.77,17.68,9.395,16.395,19.735,20.745,7.2,caesar
55,1082.0,23.0,0.0,male,73.0,180.0,34.0,34.0,,,17-25,13.0,10.63,8.78,23.31,35.51,26.73,14.53,16.65,38.15,,40.31,32.99,8.23,39.88,34.8,17.64,18.66,72.52,23.43,24.72,33.43,42.28,175.0,16.94,12.29,8.95,62.44,51.89,14.98,58.74,14.055,3.545,2.72,53.98,44.82,20.355,10.9,19.67,24.415,24.955,8.78,caesar
56,1083.0,60.0,2.0,female,61.5,116.0,,,34.0,3.0,56-65,6.5,9.06,7.28,19.41,29.06,21.77,12.13,14.57,35.51,29.92,33.46,27.48,7.05,36.22,28.58,15.35,16.57,61.26,20.28,26.77,27.09,38.31,117.5,14.69,11.38,6.95,52.28,42.83,13.6,49.96,11.115,3.03,2.76,46.06,39.49,16.535,8.845,16.09,19.575,19.96,7.29,caesar
57,1084.0,46.0,2.0,female,64.0,125.0,,,34.0,1.0,46-55,8.0,8.74,7.56,19.92,29.41,21.85,12.36,13.98,32.6,29.02,31.97,28.9,7.44,41.34,29.88,15.75,15.91,63.27,23.23,27.64,27.76,39.61,127.5,14.21,12.42,6.39,53.46,44.8,12.31,50.79,11.365,3.345,2.795,46.97,39.61,17.4,9.325,16.935,20.12,20.69,7.56,caesar
58,1085.0,28.0,0.0,male,71.0,208.0,36.0,32.0,,,26-35,10.5,10.79,8.78,22.8,35.12,26.34,14.02,18.58,44.69,,44.92,32.83,7.99,41.42,36.22,19.09,20.83,70.71,25.71,25.51,39.69,41.34,208.5,17.22,14.35,10.14,62.05,51.81,15.99,59.015,13.685,3.385,3.03,54.525,45.71,21.22,11.095,19.26,23.85,24.78,8.78,caesar
59,1086.0,46.0,2.0,female,58.5,120.0,,,34.0,3.0,46-55,,8.46,6.97,18.35,27.56,20.59,11.38,13.9,37.2,30.59,35.43,25.43,6.69,38.19,28.58,14.96,16.61,58.27,22.44,26.06,32.13,36.1,121.0,13.61,12.07,7.71,49.29,41.57,13.24,46.81,10.255,2.95,2.4,43.9,36.85,15.04,8.66,15.515,18.535,18.915,6.97,caesar
60,1087.0,48.0,3.0,female,64.0,200.0,,,38.0,1.0,46-55,8.0,9.53,7.95,20.83,29.84,21.89,12.87,17.72,43.19,37.56,39.96,27.24,6.89,50.71,32.76,16.46,18.62,63.35,29.53,31.02,40.51,37.48,205.0,15.56,13.94,9.18,54.57,44.09,14.89,51.97,11.185,2.99,2.52,48.07,41.22,16.65,9.195,15.915,19.745,20.38,7.95,caesar
61,1088.0,43.0,0.0,female,65.0,115.0,,,36.0,2.0,36-45,8.5,9.65,7.2,18.98,29.84,22.64,11.77,12.91,33.27,28.58,32.01,29.57,7.4,36.73,31.81,15.43,15.35,64.57,20.83,26.85,25.43,39.88,117.5,14.18,10.65,7.0,55.28,46.54,13.62,52.99,11.695,3.265,2.76,49.49,42.425,17.48,9.265,17.365,20.315,20.96,7.2,caesar
62,1089.0,44.0,3.0,female,59.75,104.0,,,34.0,2.0,36-45,6.0,8.86,7.28,18.39,28.74,21.46,11.1,14.13,31.85,27.83,32.05,27.05,6.57,35.94,29.13,14.88,14.96,59.53,20.16,24.72,28.62,36.5,103.5,13.67,11.28,6.74,51.02,42.6,13.44,48.265,10.7,2.99,2.28,44.96,38.285,16.18,8.92,16.465,19.375,19.62,7.28,caesar
63,1090.0,50.0,1.0,male,78.0,222.0,40.0,36.0,,,46-55,,11.34,8.54,24.33,36.73,28.19,15.79,18.54,43.11,,42.87,35.98,8.58,43.46,40.83,19.76,19.21,77.44,24.02,30.28,41.46,47.56,226.0,17.17,15.08,10.11,67.56,56.93,15.4,64.885,15.05,3.86,3.27,59.49,50.035,22.24,11.49,20.05,25.745,26.54,8.54,caesar
64,1092.0,41.0,2.0,male,70.0,182.0,36.0,32.0,,,36-45,9.5,9.8,8.43,21.14,32.72,24.29,12.72,17.09,39.65,,40.91,31.89,8.19,41.38,35.94,18.7,18.9,69.61,24.65,24.8,36.54,41.81,180.5,16.59,13.79,8.87,60.63,50.24,16.0,56.73,12.595,3.58,2.91,52.165,44.485,19.685,10.5,17.98,22.585,23.095,8.43,caesar
